Site,Mean,Median,Slope,Pval,IAV,Type
48,23.88510377,23.88601723,-0.000247808,0.835586434,0.11017952,Leuning
49,23.96996508,23.98051212,-0.001777247,0.617392769,0.122167044,Leuning
50,24.22782733,24.2329301,1.63E-05,0.976347077,0.076725866,Leuning
51,24.10762573,24.10043395,0.001607277,0.391793436,0.079673485,Leuning
52,23.65640105,23.67792891,0.000868491,0.766856768,0.152458321,Leuning
53,23.65640105,23.67792891,0.000868491,0.766856768,0.152458321,Leuning
54,23.65640105,23.67792891,0.000868491,0.766856768,0.152458321,Leuning
55,23.65640105,23.67792891,0.000868491,0.766856768,0.152458321,Leuning
56,24.13023772,24.13191613,0.002241734,0.053636839,0.050093485,Leuning
57,24.29996276,24.30243796,0.003479384,0.009925441,0.057191754,Leuning
58,23.71182607,23.73282536,0.004931633,0.061778819,0.119459379,Leuning
59,24.50377827,24.50026328,0.001089927,0.313869027,0.053013782,Leuning
60,24.23731582,24.22436266,-0.002036795,0.377138203,0.113846062,Leuning
61,24.23731582,24.22436266,-0.002036795,0.377138203,0.113846062,Leuning
62,24.50377827,24.50026328,0.001089927,0.313869027,0.053013782,Leuning
63,24.50377827,24.50026328,0.001089927,0.313869027,0.053013782,Leuning
64,24.23731582,24.22436266,-0.002036795,0.377138203,0.113846062,Leuning
65,23.98808226,23.96200484,-0.005185999,0.222740206,0.174099267,Leuning
66,24.03327764,24.04929012,0.005188021,0.011730305,0.109464604,Leuning
67,23.41369371,23.42124263,0.003011739,0.085454292,0.139016232,Leuning
68,23.66047386,23.65658084,9.76E-05,0.971535874,0.114963196,Leuning
69,23.66047386,23.65658084,9.76E-05,0.971535874,0.114963196,Leuning
70,23.85462021,23.85891502,-0.006513407,0.016816372,0.100164522,Leuning
71,23.85462021,23.85891502,-0.006513407,0.016816372,0.100164522,Leuning
72,24.26854351,24.28546219,8.78E-05,0.972882865,0.077216469,Leuning
73,23.82799389,23.82456843,-0.008123098,0.004028237,0.127995467,Leuning
74,23.82799389,23.82456843,-0.008123098,0.004028237,0.127995467,Leuning
75,24.22446593,24.23624626,-0.004356017,0.000418368,0.055753351,Leuning
76,23.82799389,23.82456843,-0.008123098,0.004028237,0.127995467,Leuning
77,23.96364924,23.97742201,-0.002179764,0.224135675,0.1025995,Leuning
78,23.7881043,23.78412067,-0.004637835,0.069855533,0.1379188,Leuning
79,23.95102241,23.96837338,-0.000495044,0.865936215,0.084154831,Leuning
80,23.93100026,23.95547298,-0.003269034,0.069855533,0.092470674,Leuning
81,23.67275144,23.67063973,9.32E-05,0.92527573,0.096820388,Leuning
82,22.9380106,22.89943311,-0.000758229,0.782794086,0.134465044,Leuning
83,22.94616698,22.90222805,-0.001703586,0.568058624,0.13522015,Leuning
84,24.21713966,24.22647331,-0.001173807,0.172615162,0.063513718,Leuning
85,23.73420509,23.71913369,-0.003115304,0.089198342,0.1037593,Leuning
86,23.92329369,23.92591391,-0.002670821,0.07712322,0.078364912,Leuning
87,23.92329369,23.92591391,-0.002670821,0.07712322,0.078364912,Leuning
88,23.92329369,23.92591391,-0.002670821,0.07712322,0.078364912,Leuning
89,23.92329369,23.92591391,-0.002670821,0.07712322,0.078364912,Leuning
90,24.73346494,24.79947217,-0.004761081,0.029589571,0.146854845,Leuning
91,24.78853543,24.78674411,-0.001149236,0.221049562,0.040601306,Leuning
