Site,Lat,Lon,PFT,Year,D13C_gpp,D13C_gs,D13C_6-8,Discr_mod,Stom_mod,beta_stress,Obs
128,38.5396,-121.750651,BDT,2011,22.94154507,22.15242724,22.15242724,simple,Jacobs,0.625643631,19.5505692
129,38.5371,-121.750651,BDT,2011,22.94154507,22.15242724,22.15242724,simple,Jacobs,0.625643631,19.49417571
130,38.5433,-121.750651,BDT,2011,22.94154507,22.15242724,22.15242724,simple,Jacobs,0.625643631,18.64065693
131,38.542,-121.750651,BDT,2011,22.94154507,22.15242724,22.15242724,simple,Jacobs,0.625643631,19.46104793
132,47.415464,-121.082473,NET,2004,23.15713121,23.65564824,22.47248498,simple,Jacobs,0.93675983,17.34547092
133,38.8966,-121.0769472,BDT,2011,22.91243285,21.99884974,21.99884974,simple,Jacobs,0.833629489,20.23656147
134,48.383652,-121.019399,NET,1980,23.49107586,23.73599213,23.06076629,simple,Jacobs,0.980609576,17.5480063
135,48.387773,-120.829007,NET,2006,23.1698304,23.78456749,22.49165496,simple,Jacobs,0.942199926,16.84964061
136,35.27982,-120.66468,NET,2016,22.60377904,22.56463839,21.69018426,simple,Jacobs,0.317866137,20.04456241
137,35.27985,-120.66453,NET,2016,22.60377904,22.56463839,21.69018426,simple,Jacobs,0.317866137,21.19115447
138,39.55,-119.88,NET,1987,22.00183785,22.34129975,20.19175226,simple,Jacobs,0.464952668,15.71087889
138,39.55,-119.88,NET,1987,22.00183785,22.34129975,20.19175226,simple,Jacobs,0.464952668,14.94216431
138,39.55,-119.88,BDT,1987,22.13513256,21.76402389,21.76402389,simple,Jacobs,0.472985754,17.62733416
138,39.55,-119.88,BDT,1987,22.13513256,21.76402389,21.76402389,simple,Jacobs,0.472985754,16.93907875
139,34.4496,-119.84623,NET,2016,22.60831881,22.48011832,21.57353026,simple,Jacobs,0.046825244,20.09395202
140,34.44948,-119.8462,NET,2016,22.60831881,22.48011832,21.57353026,simple,Jacobs,0.046825244,20.33602308
141,34.44949,-119.84607,NET,2016,22.60831881,22.48011832,21.57353026,simple,Jacobs,0.046825244,20.79591629
