Lat,Lon,Elev,D13C
38.5433,-121.750651,15.4,18.64065693
38.542,-121.750651,15.7,19.46104793
47.415464,-121.082473,837.5,17.34547092
38.8966,-121.0769472,376.6,20.23656147
48.383652,-121.019399,1113.5,17.5480063
48.387773,-120.829007,668.9,16.84964061
35.27982,-120.66468,61.8,20.04456241
35.27985,-120.66453,61.7,21.19115447
39.55,-119.88,1622,16.30486403
34.4496,-119.84623,28,20.09395202
34.44948,-119.8462,27.8,20.33602308
34.44949,-119.84607,27.7,20.79591629
34.5,-119.82,656.8,17.89096541
38.68,-119.72,2086.3,17.6972547
39.38,-119.72,1454.5,15.71380197
39.47,-119.38,1768.4,15.62191162
50.42,-118.93,743.8,20.81
34.05,-118.72,327.6,20.5
34.132312,-118.11209,212.6,22.65127175
49.990566,-117.37434,550.1,18.04801367
34.58,-117.33,819.3,21.41117244
48.955344,-117.231452,1053.9,20.71398111
46.72,-117,797,19.91
48.166624,-116.966645,683.8,18.53021028
48.570448,-116.82267,809.3,18.43618128
48.35,-116.792,1076.4,18.67210091
46.83,-116.72,921.1,17.92425691
46.803028,-116.531949,874,19.59661397
36,-116.45,784.2,19.3
33.95,-115.97,991.3,17.41181296
36.77,-115.964,952.9,17.97488978
47.04,-115.88,1732.2,19.57290242
48.42,-115.8,741.7,20.42200225
33.7,-115.8,693.1,20.13542098
34.05,-115.8,574.1,19.02971591
34.933,-115.625,858,14.26
39.9,-115.5,2220.6,16.18000534
46.96,-115.35,1581.7,18.40269474
44.17,-115.31,2022.2,17.96535816
41.033139,-115.166699,2023.9,18.10536097
44.17,-115.06,2571.1,19.70535816
34.95,-114.42,495.4,18.31757533
35,-114.4,721.4,16.15
34.883,-114.4,438.1,16.555
46.7,-114.17,1891.5,18.83460948
37.2,-113.9,1812.1,15.94072776
34.7,-113.9,989.4,16.88376374
46.85,-113.88,1107.8,18.58068502
47.92,-113.82,1005.5,19.58024763
37.52,-113.33,1793.9,18.2
37.5,-113.32,1708.6,18.57269261
37.33,-113.3,1332.9,18.37111321
43.5,-112.97,1520.8,18.66146582
37.02,-112.95,1577,19.65787595
40.5,-112.28,1744.3,15.87301587
35.983,-112.183,1955.5,18.005
39.917,-112.05,1964.6,18.48
39.92,-112.05,2016.7,18.54
33.4198,-111.9327833,354.4,18.60830039
34.78,-111.93,1107.2,19.61505548
40.77,-111.8,2108.8,19.985
40.8,-111.78,1974.2,19.765
36.9,-111.6,1432,17.78
40.78,-111.47,2057.9,19.40846825
34.22,-111.43,1194.7,20.17518306
40.57,-111.33,2096.7,18.24675191
40.55,-111.1,2310.6,19.62372056
40.65,-110.9,2967.8,17.87546382
31.78,-110.88,1138.7,19.07333718
37.18,-110.88,1127.8,20.58261496
37.28,-110.85,1323.7,19.66622261
37.23,-110.85,1153.6,19.51608545
29.1,-110.82,239,18.76727793
34.3,-110.23,1938.2,16.77963773
34.3,-110.22,1983.2,17.44390291
31.66,-110.18,1189.7,19.65775862
31.58,-110.13,1256,20.14627297
31.57,-110.13,1247,17.85941227
37.675,-110.125,1902.6,13.27047235
33.6,-109.13,1848.4,16.75531296
33.6,-109.1,1824.2,16.57052213
32.68,-109.02,1153.8,18.91095406
39.056141,-108.693585,1898.5,18.84591328
38.570779,-107.736397,2083.7,20.08571126
38.540833,-107.692871,2564,19.82374617
27.705575,-107.396771,2409.3,18.02059
37.882254,-107.344083,3649.4,20.40595622
38.5477,-106.925334,2349.8,17.94483715
37.79295,-106.915757,2926.5,19.71689162
40.404136,-106.45668,2660.2,20.06808235
39.488166,-106.366578,2688.6,19.66635999
53.629,-106.197,590.7,20.30521608
39.024833,-106.133998,3484.7,20.75581374
38.189023,-105.796457,2893.7,18.7307903
35.63,-105.779,2482.4,20.43005724
53.5,-105.75,495.1,20.47194175
40.326048,-105.65108,3011.7,19.5468871
36.388621,-105.583069,2116.1,19.2514831
37.721031,-105.517896,2504.4,15.79318316
39.796732,-105.49013,2513.9,19.97727645
40.613181,-105.47864,2935.1,19.43889454
38.927503,-105.282144,2538.2,20.67287304
40.938048,-105.137268,1954.4,21.92094996
53.985,-105.122,590,22.12819509
40.961667,-105.113056,1938.3,17.1178034
41.175516,-105.098654,1999,21.3644015
19.5,-105.05,48,19.72618447
52,-105,560.6,20.17025201
53.916,-104.69,510,19.96868157
38.764627,-104.555193,1865.1,21.52186505
32.08,-104.43,1143.3,19.42764229
29.4,-103.18,906.1,20.83699263
29.4,-103.08,942.3,20.30032596
55.88,-98.67,258.8,20.90057465
55.927,-98.62,286.9,19.8106896
55.7,-98.51,262.4,21.32991535
56,-98.5,275,20.55339407
29.8758,-98.48716,314,21.7882991
29.87596,-98.48687,312.7,21.18233366
29.87601,-98.48644,312.4,19.61850856
27.67,-98.2,79,20.02266759
55.75,-97.867,194.8,20.10399771
30.2877,-97.74156667,179.8,19.97244255
18.25,-97.43,2131.1,17.75429097
32.7241,-97.32063611,197.4,21.44444725
30.618517,-96.335582,101.6,17.74302252
29.17749,-95.84204,9.3,20.52749622
44.46804,-93.917739,224.5,20.96799137
